ID,Odds,Bet,Result,Profit 
841,28,"$2,621,440.00 ",Lose,"-2,621,440.00"
842,26,"$5,242,880.00 ",Lose,"-5,242,880.00"
843,10,"$10,485,760.00 ",Lose,"-10,485,760.00"
844,12,"$20,971,520.00 ",Lose,"-20,971,520.00"
845,9,"$41,943,040.00 ",Lose,"-41,943,040.00"
846,21,"$83,886,080.00 ",Lose,"-83,886,080.00"
847,26,"$167,772,160.00 ",Lose,"-167,772,160.00"
848,51,"$335,544,320.00 ",Lose,"-335,544,320.00"
849,13,"$671,088,640.00 ",Lose,"-671,088,640.00"
850,23,"$1,342,177,280.00 ",Lose,"-1,342,177,280.00"
851,11,"$2,684,354,560.00 ",Lose,"-2,684,354,560.00"
852,21,"$5,368,709,120.00 ",Lose,"-5,368,709,120.00"
853,23,"$10,737,418,240.00 ",Lose,"-10,737,418,240.00"
854,23,"$21,474,836,480.00 ",Lose,"-21,474,836,480.00"
855,9,"$42,949,672,960.00 ",Lose,"-42,949,672,960.00"
856,13,"$85,899,345,920.00 ",Win,"1,030,792,151,040.00"
857,11,$10.00 ,Lose,-10.00
858,17,$20.00 ,Lose,-20.00
859,67,$40.00 ,Lose,-40.00
860,41,$80.00 ,Lose,-80.00
861,11,$160.00 ,Lose,-160.00
862,15,$320.00 ,Lose,-320.00
863,23,$640.00 ,Lose,-640.00
864,7.5,"$1,280.00 ",Lose,"-1,280.00"
865,17,"$2,560.00 ",Lose,"-2,560.00"
866,11,"$5,120.00 ",Lose,"-5,120.00"
867,14,"$10,240.00 ",Lose,"-10,240.00"
868,17,"$20,480.00 ",Lose,"-20,480.00"
869,34,"$40,960.00 ",Lose,"-40,960.00"
870,11,"$81,920.00 ",Lose,"-81,920.00"
871,15,"$163,840.00 ",Lose,"-163,840.00"
872,34,"$327,680.00 ",Lose,"-327,680.00"
873,13,"$655,360.00 ",Lose,"-655,360.00"
874,26,"$1,310,720.00 ",Lose,"-1,310,720.00"
875,15,"$2,621,440.00 ",Lose,"-2,621,440.00"
876,21,"$5,242,880.00 ",Lose,"-5,242,880.00"
877,7,"$10,485,760.00 ",Lose,"-10,485,760.00"
878,26,"$20,971,520.00 ",Lose,"-20,971,520.00"
879,26,"$41,943,040.00 ",Lose,"-41,943,040.00"
880,7.5,"$83,886,080.00 ",Lose,"-83,886,080.00"
881,29,"$167,772,160.00 ",Lose,"-167,772,160.00"
882,81,"$335,544,320.00 ",Lose,"-335,544,320.00"
883,26,"$671,088,640.00 ",Lose,"-671,088,640.00"
884,13,"$1,342,177,280.00 ",Lose,"-1,342,177,280.00"
885,56,"$2,684,354,560.00 ",Lose,"-2,684,354,560.00"
886,15,"$5,368,709,120.00 ",Lose,"-5,368,709,120.00"
887,17,"$10,737,418,240.00 ",Lose,"-10,737,418,240.00"
888,26,"$21,474,836,480.00 ",Lose,"-21,474,836,480.00"
889,13,"$42,949,672,960.00 ",Lose,"-42,949,672,960.00"
890,10,"$85,899,345,920.00 ",Lose,"-85,899,345,920.00"
891,19,"$171,798,691,840.00 ",Lose,"-171,798,691,840.00"
892,49,"$343,597,383,680.00 ",Lose,"-343,597,383,680.00"
893,19,"$687,194,767,360.00 ",Lose,"-687,194,767,360.00"
894,34,"$1,374,389,534,720.00 ",Lose,"-1,374,389,534,720.00"
895,9,"$2,748,779,069,440.00 ",Lose,"-2,748,779,069,440.00"
896,10,"$5,497,558,138,880.00 ",Lose,"-5,497,558,138,880.00"
897,21,"$10,995,116,277,760.00 ",Lose,"-10,995,116,277,760.00"
898,11,"$21,990,232,555,520.00 ",Lose,"-21,990,232,555,520.00"
899,34,"$43,980,465,111,040.00 ",Lose,"-43,980,465,111,040.00"
900,26,"$87,960,930,222,080.00 ",Lose,"-87,960,930,222,080.00"
901,17,"$175,921,860,444,160.00 ",Lose,"-175,921,860,444,160.00"
902,15,"$351,843,720,888,320.00 ",Lose,"-351,843,720,888,320.00"
903,51,"$703,687,441,776,640.00 ",Lose,"-703,687,441,776,640.00"
904,46,"$1,407,374,883,553,280.00 ",Lose,"-1,407,374,883,553,280.00"
905,41,"$2,814,749,767,106,560.00 ",Lose,"-2,814,749,767,106,560.00"
906,26,"$5,629,499,534,213,120.00 ",Lose,"-5,629,499,534,213,120.00"
907,29,"$11,258,999,068,426,200.00 ",Lose,"-11,258,999,068,426,200.00"
908,34,"$22,517,998,136,852,500.00 ",Lose,"-22,517,998,136,852,500.00"
909,11,"$45,035,996,273,705,000.00 ",Lose,"-45,035,996,273,705,000.00"
910,19,"$90,071,992,547,409,900.00 ",Lose,"-90,071,992,547,409,900.00"
911,17,"$180,143,985,094,820,000.00 ",Lose,"-180,143,985,094,820,000.00"
912,17,"$360,287,970,189,640,000.00 ",Lose,"-360,287,970,189,640,000.00"
913,17,"$720,575,940,379,279,000.00 ",Lose,"-720,575,940,379,279,000.00"
914,51,"$1,441,151,880,758,560,000.00 ",Lose,"-1,441,151,880,758,560,000.00"
915,21,"$2,882,303,761,517,120,000.00 ",Lose,"-2,882,303,761,517,120,000.00"
916,59,"$5,764,607,523,034,230,000.00 ",Lose,"-5,764,607,523,034,230,000.00"
917,101,"$11,529,215,046,068,500,000.00 ",Lose,"-11,529,215,046,068,500,000.00"
918,90,"$23,058,430,092,136,900,000.00 ",Lose,"-23,058,430,092,136,900,000.00"
919,15,"$46,116,860,184,273,900,000.00 ",Lose,"-46,116,860,184,273,900,000.00"
920,126,"$92,233,720,368,547,800,000.00 ",Lose,"-92,233,720,368,547,800,000.00"
921,144,"$184,467,440,737,096,000,000.00 ",Lose,"-184,467,440,737,096,000,000.00"
922,34,"$368,934,881,474,191,000,000.00 ",Lose,"-368,934,881,474,191,000,000.00"
923,12,"$737,869,762,948,382,000,000.00 ",Lose,"-737,869,762,948,382,000,000.00"
924,21,"$1,475,739,525,896,760,000,000.00 ",Lose,"-1,475,739,525,896,760,000,000.00"
925,26,"$2,951,479,051,793,530,000,000.00 ",Lose,"-2,951,479,051,793,530,000,000.00"
926,6.5,"$5,902,958,103,587,060,000,000.00 ",Win,"32,466,269,569,728,800,000,000.00"
927,21,$10.00 ,Win,200.00
928,26,$10.00 ,Lose,-10.00
929,11,$20.00 ,Lose,-20.00
930,34,$40.00 ,Win,"1,320.00"
931,26,$10.00 ,Lose,-10.00
932,11,$20.00 ,Lose,-20.00
933,17,$40.00 ,Lose,-40.00
934,26,$80.00 ,Lose,-80.00
935,24,$160.00 ,Lose,-160.00
936,17,$320.00 ,Lose,-320.00
937,19,$640.00 ,Lose,-640.00
938,3.75,"$1,280.00 ",Win,"3,520.00"
939,5.5,$10.00 ,Lose,-10.00
940,26,$20.00 ,Lose,-20.00
941,7,$40.00 ,Win,240.00
942,101,$10.00 ,Lose,-10.00
943,26,$20.00 ,Lose,-20.00
944,23,$40.00 ,Lose,-40.00
945,34,$80.00 ,Lose,-80.00
946,26,$160.00 ,Lose,-160.00
947,17,$320.00 ,Lose,-320.00
948,21,$640.00 ,Lose,-640.00
949,19,"$1,280.00 ",Lose,"-1,280.00"
950,126,"$2,560.00 ",Lose,"-2,560.00"
951,15,"$5,120.00 ",Lose,"-5,120.00"
952,51,"$10,240.00 ",Lose,"-10,240.00"
953,15,"$20,480.00 ",Lose,"-20,480.00"
954,26,"$40,960.00 ",Lose,"-40,960.00"
955,26,"$81,920.00 ",Lose,"-81,920.00"
956,21,"$163,840.00 ",Lose,"-163,840.00"
957,26,"$327,680.00 ",Lose,"-327,680.00"
958,17,"$655,360.00 ",Lose,"-655,360.00"
959,3,"$1,310,720.00 ",Lose,"-1,310,720.00"
960,15,"$2,621,440.00 ",Lose,"-2,621,440.00"
961,38,"$5,242,880.00 ",Lose,"-5,242,880.00"
962,13,"$10,485,760.00 ",Lose,"-10,485,760.00"
963,67,"$20,971,520.00 ",Lose,"-20,971,520.00"
964,34,"$41,943,040.00 ",Lose,"-41,943,040.00"
965,21,"$83,886,080.00 ",Lose,"-83,886,080.00"
966,21,"$167,772,160.00 ",Lose,"-167,772,160.00"
967,6.5,"$335,544,320.00 ",Lose,"-335,544,320.00"
968,21,"$671,088,640.00 ",Lose,"-671,088,640.00"
969,34,"$1,342,177,280.00 ",Win,"44,291,850,240.00"
970,8,$10.00 ,Win,70.00
971,7,$10.00 ,Lose,-10.00
972,8.5,$20.00 ,Lose,-20.00
973,7,$40.00 ,Lose,-40.00
974,7,$80.00 ,Lose,-80.00
975,6.5,$160.00 ,Lose,-160.00
976,15,$320.00 ,Lose,-320.00
977,26,$640.00 ,Lose,-640.00
978,41,"$1,280.00 ",Lose,"-1,280.00"
979,4.5,"$2,560.00 ",Lose,"-2,560.00"
980,21,"$5,120.00 ",Lose,"-5,120.00"
981,34,"$10,240.00 ",Lose,"-10,240.00"
982,10,"$20,480.00 ",Lose,"-20,480.00"
983,26,"$40,960.00 ",Lose,"-40,960.00"
984,10,"$81,920.00 ",Lose,"-81,920.00"
985,4,"$163,840.00 ",Lose,"-163,840.00"
986,17,"$327,680.00 ",Lose,"-327,680.00"
987,34,"$655,360.00 ",Lose,"-655,360.00"
988,5,"$1,310,720.00 ",Lose,"-1,310,720.00"
989,8,"$2,621,440.00 ",Lose,"-2,621,440.00"
990,5,"$5,242,880.00 ",Lose,"-5,242,880.00"
991,26,"$10,485,760.00 ",Lose,"-10,485,760.00"
992,11,"$20,971,520.00 ",Lose,"-20,971,520.00"
993,9,"$41,943,040.00 ",Lose,"-41,943,040.00"
994,21,"$83,886,080.00 ",Lose,"-83,886,080.00"
1,5.5,"$167,772,160.00 ",Lose,"-167,772,160.00"
2,4.5,"$335,544,320.00 ",Win,"1,174,405,120.00"
3,8,$10.00 ,Win,70.00
4,17,$10.00 ,Lose,-10.00
5,9,$20.00 ,Lose,-20.00
6,3.25,$40.00 ,Lose,-40.00
7,6,$80.00 ,Lose,-80.00
8,7,$160.00 ,Win,960.00
9,7,$10.00 ,Lose,-10.00
10,7,$20.00 ,Win,120.00
11,9,$10.00 ,Win,80.00
12,6.5,$10.00 ,Lose,-10.00
13,21,$20.00 ,Lose,-20.00
14,9,$40.00 ,Lose,-40.00
15,8,$80.00 ,Lose,-80.00
16,10,$160.00 ,Lose,-160.00
17,5,$320.00 ,Lose,-320.00
18,9,$640.00 ,Lose,-640.00
19,8,"$1,280.00 ",Lose,"-1,280.00"
20,9,"$2,560.00 ",Win,"20,480.00"
21,8,$10.00 ,Lose,-10.00
22,11,$20.00 ,Lose,-20.00
23,8,$40.00 ,Lose,-40.00
24,13,$80.00 ,Lose,-80.00
25,8,$160.00 ,Win,"1,120.00"
26,5.5,$10.00 ,Lose,-10.00
27,6.5,$20.00 ,Lose,-20.00
28,6.5,$40.00 ,Lose,-40.00
29,13,$80.00 ,Lose,-80.00
30,4.5,$160.00 ,Lose,-160.00
31,6.5,$320.00 ,Lose,-320.00
32,9,$640.00 ,Lose,-640.00
33,5.5,"$1,280.00 ",Lose,"-1,280.00"
34,7.5,"$2,560.00 ",Lose,"-2,560.00"
35,11,"$5,120.00 ",Lose,"-5,120.00"
36,9,"$10,240.00 ",Lose,"-10,240.00"
37,10,"$20,480.00 ",Lose,"-20,480.00"
38,5,"$40,960.00 ",Lose,"-40,960.00"
39,10,"$81,920.00 ",Lose,"-81,920.00"
40,5.5,"$163,840.00 ",Lose,"-163,840.00"
41,8,"$327,680.00 ",Lose,"-327,680.00"
42,8,"$655,360.00 ",Lose,"-655,360.00"
43,6,"$1,310,720.00 ",Lose,"-1,310,720.00"
44,4.5,"$2,621,440.00 ",Lose,"-2,621,440.00"
45,5,"$5,242,880.00 ",Lose,"-5,242,880.00"
46,21,"$10,485,760.00 ",Lose,"-10,485,760.00"
47,8,"$20,971,520.00 ",Lose,"-20,971,520.00"
48,12,"$41,943,040.00 ",Lose,"-41,943,040.00"
49,5.5,"$83,886,080.00 ",Lose,"-83,886,080.00"
50,7,"$167,772,160.00 ",Lose,"-167,772,160.00"
51,5,"$335,544,320.00 ",Lose,"-335,544,320.00"
52,3.25,"$671,088,640.00 ",Lose,"-671,088,640.00"
53,4.5,"$1,342,177,280.00 ",Win,"4,697,620,480.00"
54,17,$10.00 ,Win,160.00
55,13,$10.00 ,Lose,-10.00
56,13,$20.00 ,Lose,-20.00
57,11,$40.00 ,Lose,-40.00
58,7,$80.00 ,Lose,-80.00
59,10,$160.00 ,Win,"1,440.00"
60,7,$10.00 ,Lose,-10.00
61,8,$20.00 ,Lose,-20.00
62,10,$40.00 ,Lose,-40.00
63,5.5,$80.00 ,Lose,-80.00
64,15,$160.00 ,Win,"2,240.00"
65,11,$10.00 ,Lose,-10.00
66,7,$20.00 ,Lose,-20.00
67,10,$40.00 ,Lose,-40.00
68,7,$80.00 ,Lose,-80.00
69,8.5,$160.00 ,Lose,-160.00
70,5,$320.00 ,Win,"1,280.00"
71,8,$10.00 ,Win,70.00
72,6.5,$10.00 ,Lose,-10.00
73,9,$20.00 ,Lose,-20.00
74,8,$40.00 ,Lose,-40.00
75,6,$80.00 ,Lose,-80.00
76,7,$160.00 ,Lose,-160.00
77,9,$320.00 ,Lose,-320.00
78,6.5,$640.00 ,Lose,-640.00
79,6,"$1,280.00 ",Lose,"-1,280.00"
80,5.5,"$2,560.00 ",Lose,"-2,560.00"
81,15,"$5,120.00 ",Lose,"-5,120.00"
82,5.5,"$10,240.00 ",Lose,"-10,240.00"
83,9,"$20,480.00 ",Lose,"-20,480.00"
84,6,"$40,960.00 ",Lose,"-40,960.00"
85,5,"$81,920.00 ",Lose,"-81,920.00"
86,6,"$163,840.00 ",Lose,"-163,840.00"
87,5,"$327,680.00 ",Win,"1,310,720.00"
88,7,$10.00 ,Lose,-10.00
89,8,$20.00 ,Win,140.00
90,17,$10.00 ,Lose,-10.00
91,5.5,$20.00 ,Lose,-20.00
92,5,$40.00 ,Lose,-40.00
93,13,$80.00 ,Lose,-80.00
94,6.5,$160.00 ,Win,880.00
95,7,$10.00 ,Lose,-10.00
96,6,$20.00 ,Win,100.00
97,6,$10.00 ,Lose,-10.00
98,8,$20.00 ,Lose,-20.00
99,6,$40.00 ,Lose,-40.00
100,13,$80.00 ,Lose,-80.00
101,10,$160.00 ,Win,"1,440.00"
102,13,$10.00 ,Lose,-10.00
103,5,$20.00 ,Lose,-20.00
104,9,$40.00 ,Lose,-40.00
105,5,$80.00 ,Lose,-80.00
106,12,$160.00 ,Lose,-160.00
107,7,$320.00 ,Lose,-320.00
108,5.5,$640.00 ,Lose,-640.00
109,8,"$1,280.00 ",Lose,"-1,280.00"
110,12,"$2,560.00 ",Lose,"-2,560.00"
111,5,"$5,120.00 ",Lose,"-5,120.00"
112,13,"$10,240.00 ",Lose,"-10,240.00"
113,10,"$20,480.00 ",Lose,"-20,480.00"
114,13,"$40,960.00 ",Lose,"-40,960.00"
115,9,"$81,920.00 ",Lose,"-81,920.00"
116,15,"$163,840.00 ",Lose,"-163,840.00"
117,6.5,"$327,680.00 ",Lose,"-327,680.00"
118,10,"$655,360.00 ",Lose,"-655,360.00"
119,10,"$1,310,720.00 ",Lose,"-1,310,720.00"
120,11,"$2,621,440.00 ",Win,"26,214,400.00"
121,5.5,$10.00 ,Lose,-10.00
122,9,$20.00 ,Lose,-20.00
123,5.5,$40.00 ,Lose,-40.00
124,12,$80.00 ,Lose,-80.00
125,5,$160.00 ,Lose,-160.00
126,5,$320.00 ,Lose,-320.00
127,5.5,$640.00 ,Lose,-640.00
128,8,"$1,280.00 ",Lose,"-1,280.00"
129,15,"$2,560.00 ",Lose,"-2,560.00"
130,15,"$5,120.00 ",Lose,"-5,120.00"
131,6,"$10,240.00 ",Win,"51,200.00"
132,7.5,$10.00 ,Lose,-10.00
133,8,$20.00 ,Lose,-20.00
134,15,$40.00 ,Lose,-40.00
135,15,$80.00 ,Lose,-80.00
136,6,$160.00 ,Lose,-160.00
137,7.5,$320.00 ,Lose,-320.00
138,11,$640.00 ,Lose,-640.00
139,11,"$1,280.00 ",Lose,"-1,280.00"
140,9,"$2,560.00 ",Lose,"-2,560.00"
141,8,"$5,120.00 ",Lose,"-5,120.00"
142,11,"$10,240.00 ",Lose,"-10,240.00"
143,10,"$20,480.00 ",Lose,"-20,480.00"
144,17,"$40,960.00 ",Lose,"-40,960.00"
145,17,"$81,920.00 ",Lose,"-81,920.00"
146,7.5,"$163,840.00 ",Lose,"-163,840.00"
147,10,"$327,680.00 ",Lose,"-327,680.00"
148,17,"$655,360.00 ",Lose,"-655,360.00"
149,15,"$1,310,720.00 ",Lose,"-1,310,720.00"
150,10,"$2,621,440.00 ",Lose,"-2,621,440.00"
151,13,"$5,242,880.00 ",Win,"62,914,560.00"
152,9,$10.00 ,Lose,-10.00
153,10,$20.00 ,Lose,-20.00
154,9,$40.00 ,Lose,-40.00
155,17,$80.00 ,Lose,-80.00
156,5.5,$160.00 ,Win,720.00
157,9,$10.00 ,Lose,-10.00
158,9.5,$20.00 ,Lose,-20.00
159,8,$40.00 ,Lose,-40.00
160,10,$80.00 ,Lose,-80.00
161,5.5,$160.00 ,Win,720.00
162,6.5,$10.00 ,Win,55.00
163,11,$10.00 ,Lose,-10.00
164,15,$20.00 ,Win,280.00
165,13,$10.00 ,Win,120.00
166,8,$10.00 ,Lose,-10.00
167,6,$20.00 ,Lose,-20.00
168,8,$40.00 ,Lose,-40.00
169,6,$80.00 ,Lose,-80.00
170,19,$160.00 ,Lose,-160.00
171,5,$320.00 ,Win,"1,280.00"
172,13,$10.00 ,Lose,-10.00
173,15,$20.00 ,Lose,-20.00
174,5.5,$40.00 ,Lose,-40.00
175,11,$80.00 ,Lose,-80.00
176,5,$160.00 ,Lose,-160.00
177,9,$320.00 ,Lose,-320.00
178,17,$640.00 ,Lose,-640.00
179,15,"$1,280.00 ",Lose,"-1,280.00"
180,21,"$2,560.00 ",Lose,"-2,560.00"
181,10,"$5,120.00 ",Lose,"-5,120.00"
182,12,"$10,240.00 ",Lose,"-10,240.00"
183,5.5,"$20,480.00 ",Lose,"-20,480.00"
184,5,"$40,960.00 ",Lose,"-40,960.00"
185,9,"$81,920.00 ",Lose,"-81,920.00"
186,11,"$163,840.00 ",Lose,"-163,840.00"
187,10,"$327,680.00 ",Lose,"-327,680.00"
188,6,"$655,360.00 ",Lose,"-655,360.00"
189,7,"$1,310,720.00 ",Lose,"-1,310,720.00"
190,9,"$2,621,440.00 ",Lose,"-2,621,440.00"
191,11,"$5,242,880.00 ",Lose,"-5,242,880.00"
192,5.5,"$10,485,760.00 ",Lose,"-10,485,760.00"
193,8,"$20,971,520.00 ",Lose,"-20,971,520.00"
194,7.5,"$41,943,040.00 ",Lose,"-41,943,040.00"
195,7,"$83,886,080.00 ",Lose,"-83,886,080.00"
196,6.5,"$167,772,160.00 ",Lose,"-167,772,160.00"
197,9,"$335,544,320.00 ",Lose,"-335,544,320.00"
198,17,"$671,088,640.00 ",Lose,"-671,088,640.00"
199,6,"$1,342,177,280.00 ",Lose,"-1,342,177,280.00"
200,13,"$2,684,354,560.00 ",Lose,"-2,684,354,560.00"
201,15,"$5,368,709,120.00 ",Lose,"-5,368,709,120.00"
202,7,"$10,737,418,240.00 ",Lose,"-10,737,418,240.00"
203,11,"$21,474,836,480.00 ",Lose,"-21,474,836,480.00"
204,9,"$42,949,672,960.00 ",Lose,"-42,949,672,960.00"
205,6,"$85,899,345,920.00 ",Lose,"-85,899,345,920.00"
206,7,"$171,798,691,840.00 ",Lose,"-171,798,691,840.00"
207,8,"$343,597,383,680.00 ",Lose,"-343,597,383,680.00"
208,6,"$687,194,767,360.00 ",Lose,"-687,194,767,360.00"
209,13,"$1,374,389,534,720.00 ",Lose,"-1,374,389,534,720.00"
210,6.5,"$2,748,779,069,440.00 ",Win,"15,118,284,881,920.00"
211,9,$10.00 ,Lose,-10.00
212,13,$20.00 ,Lose,-20.00
213,9,$40.00 ,Lose,-40.00
214,7,$80.00 ,Win,480.00
215,7,$10.00 ,Lose,-10.00
216,7,$20.00 ,Lose,-20.00
217,10,$40.00 ,Lose,-40.00
218,13,$80.00 ,Lose,-80.00
219,13,$160.00 ,Lose,-160.00
220,7,$320.00 ,Lose,-320.00
221,5,$640.00 ,Lose,-640.00
222,5.5,"$1,280.00 ",Lose,"-1,280.00"
223,5.5,"$2,560.00 ",Lose,"-2,560.00"
224,5.5,"$5,120.00 ",Lose,"-5,120.00"
225,5,"$10,240.00 ",Win,"40,960.00"
226,6.5,$10.00 ,Lose,-10.00
227,5,$20.00 ,Lose,-20.00
228,10,$40.00 ,Lose,-40.00
229,4,$80.00 ,Lose,-80.00
230,9,$160.00 ,Lose,-160.00
231,6.5,$320.00 ,Win,"1,760.00"
232,10,$10.00 ,Lose,-10.00
233,8,$20.00 ,Win,140.00
234,13,$10.00 ,Lose,-10.00
235,8.5,$20.00 ,Lose,-20.00
236,5,$40.00 ,Lose,-40.00
237,15,$80.00 ,Lose,-80.00
238,8,$160.00 ,Lose,-160.00
239,13,$320.00 ,Lose,-320.00
240,7,$640.00 ,Lose,-640.00
241,6,"$1,280.00 ",Lose,"-1,280.00"
242,8,"$2,560.00 ",Lose,"-2,560.00"
243,7,"$5,120.00 ",Lose,"-5,120.00"
244,11,"$10,240.00 ",Win,"102,400.00"
245,10,$10.00 ,Lose,-10.00
246,6,$20.00 ,Lose,-20.00
247,15,$40.00 ,Lose,-40.00
248,8,$80.00 ,Lose,-80.00
249,5.5,$160.00 ,Win,720.00
250,5.5,$10.00 ,Win,45.00
251,6,$10.00 ,Lose,-10.00
252,13,$20.00 ,Lose,-20.00
253,8,$40.00 ,Lose,-40.00
254,5,$80.00 ,Lose,-80.00
255,6,$160.00 ,Win,800.00
256,6.5,$10.00 ,Lose,-10.00
257,15,$20.00 ,Lose,-20.00
258,6,$40.00 ,Lose,-40.00
259,7,$80.00 ,Lose,-80.00
260,15,$160.00 ,Lose,-160.00
261,13,$320.00 ,Lose,-320.00
262,12,$640.00 ,Win,"7,040.00"
263,6,$10.00 ,Win,50.00
264,11,$10.00 ,Lose,-10.00
265,15,$20.00 ,Lose,-20.00
266,8,$40.00 ,Lose,-40.00
267,11,$80.00 ,Lose,-80.00
268,5,$160.00 ,Lose,-160.00
269,11,$320.00 ,Lose,-320.00
270,6,$640.00 ,Lose,-640.00
271,5,"$1,280.00 ",Win,"5,120.00"
272,5,$10.00 ,Lose,-10.00
273,17,$20.00 ,Lose,-20.00
274,10,$40.00 ,Lose,-40.00
275,4.5,$80.00 ,Win,280.00
276,17,$10.00 ,Lose,-10.00
277,5,$20.00 ,Lose,-20.00
278,13,$40.00 ,Lose,-40.00
279,7.5,$80.00 ,Lose,-80.00
280,8,$160.00 ,Lose,-160.00
281,9,$320.00 ,Lose,-320.00
282,15,$640.00 ,Lose,-640.00
283,13,"$1,280.00 ",Lose,"-1,280.00"
284,10,"$2,560.00 ",Lose,"-2,560.00"
285,6,"$5,120.00 ",Lose,"-5,120.00"
286,9,"$10,240.00 ",Lose,"-10,240.00"
287,7,"$20,480.00 ",Lose,"-20,480.00"
288,13,"$40,960.00 ",Win,"491,520.00"
289,12,$10.00 ,Lose,-10.00
290,15,$20.00 ,Lose,-20.00
291,7.5,$40.00 ,Lose,-40.00
292,8.5,$80.00 ,Lose,-80.00
293,13,$160.00 ,Lose,-160.00
294,17,$320.00 ,Lose,-320.00
295,10,$640.00 ,Lose,-640.00
296,13,"$1,280.00 ",Lose,"-1,280.00"
297,5,"$2,560.00 ",Lose,"-2,560.00"
298,13,"$5,120.00 ",Lose,"-5,120.00"
299,6,"$10,240.00 ",Lose,"-10,240.00"
300,10,"$20,480.00 ",Lose,"-20,480.00"
301,21,"$40,960.00 ",Lose,"-40,960.00"
302,15,"$81,920.00 ",Lose,"-81,920.00"
303,9.5,"$163,840.00 ",Lose,"-163,840.00"
304,8,"$327,680.00 ",Lose,"-327,680.00"
305,8,"$655,360.00 ",Lose,"-655,360.00"
306,5,"$1,310,720.00 ",Lose,"-1,310,720.00"
307,6.5,"$2,621,440.00 ",Lose,"-2,621,440.00"
308,9,"$5,242,880.00 ",Lose,"-5,242,880.00"
309,9,"$10,485,760.00 ",Lose,"-10,485,760.00"
310,15,"$20,971,520.00 ",Lose,"-20,971,520.00"
311,6,"$41,943,040.00 ",Lose,"-41,943,040.00"
312,11,"$83,886,080.00 ",Lose,"-83,886,080.00"
313,8,"$167,772,160.00 ",Lose,"-167,772,160.00"
314,13,"$335,544,320.00 ",Lose,"-335,544,320.00"
315,4,"$671,088,640.00 ",Lose,"-671,088,640.00"
316,8.5,"$1,342,177,280.00 ",Lose,"-1,342,177,280.00"
317,4,"$2,684,354,560.00 ",Win,"8,053,063,680.00"
318,11,$10.00 ,Win,100.00
319,17,$10.00 ,Lose,-10.00
320,5.5,$20.00 ,Lose,-20.00
321,9,$40.00 ,Lose,-40.00
322,15,$80.00 ,Lose,-80.00
323,11,$160.00 ,Lose,-160.00
324,5.5,$320.00 ,Lose,-320.00
325,17,$640.00 ,Lose,-640.00
326,5.5,"$1,280.00 ",Lose,"-1,280.00"
327,4,"$2,560.00 ",Lose,"-2,560.00"
328,21,"$5,120.00 ",Lose,"-5,120.00"
329,6,"$10,240.00 ",Lose,"-10,240.00"
330,4.5,"$20,480.00 ",Lose,"-20,480.00"
331,4,"$40,960.00 ",Lose,"-40,960.00"
332,10,"$81,920.00 ",Lose,"-81,920.00"
333,6,"$163,840.00 ",Win,"819,200.00"
334,4.33,$10.00 ,Win,33.30
335,5.5,$10.00 ,Lose,-10.00
336,11,$20.00 ,Lose,-20.00
337,6.5,$40.00 ,Lose,-40.00
338,3.5,$80.00 ,Win,200.00
339,11,$10.00 ,Win,100.00
340,4,$10.00 ,Win,30.00
341,13,$10.00 ,Lose,-10.00
342,8,$20.00 ,Lose,-20.00
343,10,$40.00 ,Lose,-40.00
344,3.5,$80.00 ,Lose,-80.00
345,5.5,$160.00 ,Lose,-160.00
346,7,$320.00 ,Lose,-320.00
347,6,$640.00 ,Lose,-640.00
348,6.5,"$1,280.00 ",Lose,"-1,280.00"
349,17,"$2,560.00 ",Lose,"-2,560.00"
350,10,"$5,120.00 ",Lose,"-5,120.00"
351,5,"$10,240.00 ",Lose,"-10,240.00"
352,4,"$20,480.00 ",Lose,"-20,480.00"
353,5.5,"$40,960.00 ",Lose,"-40,960.00"
354,15,"$81,920.00 ",Lose,"-81,920.00"
355,6,"$163,840.00 ",Lose,"-163,840.00"
356,4.5,"$327,680.00 ",Lose,"-327,680.00"
357,9,"$655,360.00 ",Lose,"-655,360.00"
358,6.5,"$1,310,720.00 ",Lose,"-1,310,720.00"
359,5,"$2,621,440.00 ",Lose,"-2,621,440.00"
360,5.5,"$5,242,880.00 ",Lose,"-5,242,880.00"
361,9,"$10,485,760.00 ",Lose,"-10,485,760.00"
362,13,"$20,971,520.00 ",Lose,"-20,971,520.00"
363,6,"$41,943,040.00 ",Lose,"-41,943,040.00"
364,4.33,"$83,886,080.00 ",Lose,"-83,886,080.00"
365,5.5,"$167,772,160.00 ",Lose,"-167,772,160.00"
366,8,"$335,544,320.00 ",Lose,"-335,544,320.00"
367,8,"$671,088,640.00 ",Lose,"-671,088,640.00"
368,4.33,"$1,342,177,280.00 ",Lose,"-1,342,177,280.00"
369,7,"$2,684,354,560.00 ",Lose,"-2,684,354,560.00"
370,8,"$5,368,709,120.00 ",Win,"37,580,963,840.00"
371,15,$10.00 ,Lose,-10.00
372,9.5,$20.00 ,Lose,-20.00
373,4.5,$40.00 ,Lose,-40.00
374,11,$80.00 ,Lose,-80.00
375,3.5,$160.00 ,Lose,-160.00
376,4.5,$320.00 ,Lose,-320.00
377,5.5,$640.00 ,Lose,-640.00
378,8.5,"$1,280.00 ",Lose,"-1,280.00"
379,5.5,"$2,560.00 ",Lose,"-2,560.00"
380,8,"$5,120.00 ",Lose,"-5,120.00"
